G05;ENCEFALITIS MIELITIS Y ENCEFALOMIELITIS EN, ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G06;ABSCESO Y GRANULOMA INTRACRANEAL E, INTRARRAQUIDEO
G07;ABSCESO Y GRANULOMA INTRACRANEAL E, INTRARRAQUIDEO
G08;FLEBITIS Y TROMBOFLEBITIS INTRACRANEAL E, INTRARRAQUIDEA
G09;SECUELAS DE ENFERMEDADES INFLAMATORIAS DEL, SISTEMA NERVIOSO CENTRAL
G10;ENFERMEDAD DE HUNTINGTON
G11;ATAXIA HEREDITARIA
G12;ATROFIA MUSCULAR ESPINAL Y SINDROMES AFINES
G13;ATROFIAS SISTEMICAS QUE AFECTAN PRIMARIAMENTE
G20;ENFERMEDAD DE PARKINSON
G21;PARKINSONISMO SECUNDARIO
G22;PARKINSONISMO EN ENFERMEDADES CLASIFICADAS
G23;OTRAS ENFERMEDADES DEGENERATIVAS DE LOS
G24;DISTONIA
G25;OTROS TRASTORNOS EXTRAPIRAMIDALES Y DEL, MOVIMIENTO
G26;TRASTORNOS EXTRAPIRAMIDALES Y DEL MOVIMIENTO
G30;ENFERMEDAD DE ALZHEIMER
G31;OTRAS ENFERMEDADES DEGENERATIVAS DEL SISTEMA
G32;OTROS TRASTORNOS DEGENERATIVOS DEL SISTEMA NERVIOSO EN ENFERMEDADES CLASIFICADOS EN
G35;ESCLEROSIS MULTIPLE
G36;OTRAS DESMIELINIZACIONES DISEMINADAS AGUDAS
G37;OTRAS ENFERMEDADES DESMIELINIZANTES DEL
G40;EPILEPSIA
G41;ESTADO DE MAL EPILEPTICO
G43;MIGRAÑA
G44;OTROS SINDROMES DE CEFALEA
G45;ATAQUES DE ISQUEMIA CEREBRAL TRANSITORIA Y
G46;SINDROMES VASCULARES ENCEFALICOS EN
G47;TRASTORNOS DEL SUEÑO
G50;TRASTORNOS DEL NERVIO TRIGEMINO
G51;TRASTORNOS DEL NERVIO FACIAL
G52;TRASTORNOS DE OTROS NERVIOS CRANEALES
G53;TRASTORNOS DE LOS NERVIOS CRANEALES EN
G54;TRASTORNOS DE LAS RAICES Y DE LOS PLEXOS, NERVIOSOS
G55;COMPRESIONES DE LAS RAICES Y DE LOS PLEXOS
G56;MONONEUROPATIAS DEL MIEMBRO SUPERIOR
G57;MONONEUROPATIAS DEL MIEMBRO INFERIOR
G58;OTRAS MONONEUROPATIAS
G59;MONONEUROPATIA EN ENFERMEDADES CLASIFICADAS, OTRA PARTE
G60;NEUROPATIA HEREDITARIA E IDIOPATICA
G61;POLINEUROPATIA INFLAMATORIA
G62;OTRAS POLINEUROPATIAS
G63;POLINEUROPATIA EN ENFERMEDADES CLASIFICADAS
G64;OTROS TRASTORNOS DEL SISTEMA NERVIOSO, PERIFERICO
G70;MIASTENIA GRAVIS Y OTROS TRASTORNOS, NEUROMUSCULARES
G71;TRASTORNOS MUSCULARES PRIMARIOS
G72;OTRAS MIOPATIAS
G73;TRASTORNOS DEL MUSCULO Y DE LA UNION
G80;PARALISIS CEREBRAL INFANTIL
G81;HEMIPLEJIA
G82;PARAPLEJIA Y CUADRIPLEJIA
G83;OTROS SINDROMES PARALITICOS
G90;TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO
G91;HIDROCEFALO
G92;ENCEFALOPATIA TOXICA
G93;OTROS TRASTORNOS DEL ENCEFALO
G94;OTROS TRASTORNOS DEL ENCEFALO EN, ENFERMEDADES CLASIFICADAS OTRA PARTE
G95;OTRAS ENFERMEDADES DE LA MEDULA ESPINAL
G96;OTROS TRASTORNOS DEL SISTEMA NERVIOSO, CENTRAL
G97;TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA
G98;OTROS TRASTORNOS DEL SISTEMA NERVIOSO
G99;OTROS TRASTORNOS DEL SISTEMA NERVIOSO EN
H00;ORZUELO Y CALACIO
H01;OTRAS INFLAMACIONES DEL PARPADO
H02;OTROS TRASTORNOS DE LOS PARPADOS
H03;TRASTORNOS DEL PARPADO EN ENFERMEDADES, CLASIFICADAS OTRA PARTE
H04;TRASTORNOS DEL APARATO LAGRIMAL
H05;TRASTORNOS DE LA ORBITA
H06;TRASTORNOS DEL APARATO LAGRIMAL Y DE LA ORBITA, EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H10;CONJUNTIVITIS
H11;OTROS TRASTORNOS DE LA CONJUNTIVA
H13;TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES
H15;TRASTORNOS DE LA ESCLEROTICA
H16;QUERATITIS
H17;OPACIDADES Y CICATRICES CORNEALES
H18;OTROS TRASTORNOS DE LA CORNEA
H19;TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN
H20;IRIDOCICLITIS
H21;OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR
H22;TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN, ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H25;CATARATA SENIL
H26;OTRAS CATARATAS
H27;OTROS TRASTORNOS DEL CRISTALINO
H28;CATARATA Y OTROS TRASTORNOS DEL CRISTALINO EN
H30;INFLAMACION CORIORRETINIANA
H31;OTROS TRASTORNOS DE LA COROIDES
H32;TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES, CLASIFICADAS OTRA PARTE
H33;DESPRENDIMIENTO Y DESGARRO DE LA RETINA
H34;OCLUSION VASCULAR DE LA RETINA
H35;OTROS TRASTORNOS DE LA RETINA
H36;TRASTORNOS DE LA RETINA EN ENFERMEDADES
H40;GLAUCOMA
H42;GLAUCOMA EN ENFERMEDADES CLASIFICADAS EN, OTRA PARTE
H43;TRASTORNOS DEL CUERPO VITREO
H44;TRASTORNOS DEL GLOBO OCULAR
H45;TRASTORNOS DEL CUERPO VITREO Y DEL GLOBO
H46;NEURITIS OPTICA
H47;OTROS TRASTORNOS DEL NERVIO OPTICO [ II PAR ] Y
H48;OTROS TRASTORNOS DEL NERVIO OPTICO [ II PAR ] Y
H49;ESTRABISMO PARALITICO
H50;OTROS ESTRABISMOS
H51;OTROS TRASTORNOS DE LOS MOVIMIENTOS, BINOCULARES
H52;TRASTORNOS DE LA ACOMODACION Y DE LA, REFRACCION
H53;ALTERACIONES DE LA VISION
H54;CEGUERA Y DISMINUCION DE LA AGUDEZA VISUAL
H55;NISTAGMO Y OTROS MOVIMIENTOS OCULARES, IRREGULARES
H57;OTROS TRASTORNOS DEL OJO Y SUS ANEXOS
H58;OTROS TRASTORNOS DEL OJO Y SUS ANEXOS EN, ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H59;TRASTORNOS DEL OJO Y SUS ANEXOS CONSECUTIVOS
H60;OTITIS EXTERNA
H61;OTROS TRASTORNOS DEL OIDO EXTERNO
H62;TRASTORNOS DEL OIDO EXTERNO EN ENFERMEDADES, CLASIFICADAS EN OTRA PARTE
H65;OTITIS MEDIA NO SUPURATIVA
H66;OTITIS MEDIA SUPURATIVA Y LA NO ESPECIFICADA
H67;OTITIS MEDIA EN ENFERMEDADES CLASIFICADAS EN, OTRA PARTE
H68;INFLAMACION Y OBSTRUCCION DE LA TROMPA DE, EUSTAQUIO
H69;OTROS TRASTORNOS DE LA TROMPA DE EUSTAQUIO
H70;MASTOIDITIS Y AFECCIONES RELACIONADAS
H71;COLESTEATOMA DEL OIDO MEDIO
H72;PERFORACION DE LA MEMBRANA TIMPANICA
H73;OTROS TRASTORNOS DE LA MEMBRANA TIMPANICA
H74;OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA
H75;OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA, APOFISIS MASTOIDESEN ENFERMEDADES
H80;OTOSCLEROSIS
H81;TRASTORNOS DE LA FUNCION VESTIBULAR
H82;SINDROMES VERTIGINOSOS
H83;OTROS TRASTORNOS DEL OIDO INTERNO
H90;HIPOACUSIA CONDUCTIVA Y NEUROSENSORIAL
H91;OTRAS HIPOACUSIAS
H92;OTALGIA Y SECRECION DEL OIDO
H93;OTROS TRASTORNOS DEL OIDO NO CLASIFICADOS EN
H94;OTROS TRASTORNOS DEL OIDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H95;TRASTORNOS DEL OIDO Y DE LA APOFISIS MASTOIDES CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS
I00;FIEBRE REUMATICA SIN MENCION DE COMPLICACION, CARDIACA
I01;FIEBRE REUMATICA CON COMPLICACION CARDIACA
I02;COREA REUMATICA
I05;ENFERMEDADES REUMATICAS DE LA VALVULA MITRAL
I06;ENFERMEDADES REUMATICAS DE LA VALVULA AORTICA
I07;ENFERMEDADES REUMATICAS DE LA VALVULA, TRICUSPIDE
I08;ENFERMEDADES VALVULARES MULTIPLES
I09;OTRAS ENFERMEDADES REUMATICAS DEL CORAZON
I10;HIPERTENSION ESENCIAL (PRIMARIA)
I11;ENFERMEDAD CARDIACA HIPERTENSIVA
I12;ENFERMEDAD RENAL HIPERTENSIVA
I13;ENFERMEDAD CARDIORRENAL HIPERTENSIVA
I15;HIPERTENSION SECUNDARIA
I20;ANGINA DE PECHO
I21;INFARTO AGUDO DEL MIOCARDIO
I22;INFARTO SUBSECUENTE DEL MIOCARDIO
I23;CIERTAS COMPLICACIONES PRESENTES POST ERIORES, AL INFARTO AGUDO DEL MIOCARDIO
I24;OTRAS ENFERMEDADES ISQUEMICAS AGUDAS DEL, CORAZON
I25;ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON
I26;EMBOLIA PULMONAR
I27;OTRAS ENFERMEDADES CARDIOPULMONARES
I28;OTRAS ENFERMEDADES VASOS PULMONARES
I30;PERICARDITIS AGUDA
I31;OTRAS ENFERMEDADES DEL PERICARDIO
I32;PERICARDITIS EN ENFERMEDADES CLASIFICADAS EN
I33;ENDOCARDITIS AGUDA Y SUBAGUDA
I34;TRASTORNOS NO REUMATICOS DE LA VALVULA MITRAL
I35;TRASTORNOS NO REUMATICOS DE LA VALVULA, AORTICA
I36;TRASTORNOS NO REUMATICOS DE LA VALVULA, TRICUSPIDE
I37;TRASTORNOS DE LA VALVULA PULMONAR
I38;ENDOCARDITIS, VALVULA NO ESPECIFICADA
I39;ENDOCARDITIS Y TRASTORNOS VALVULARES EN, ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I40;MIOCARDITIS AGUDA
I41;MIOCARDITIS EN ENFERMEDADES CLASIFICADAS EN, OTRA PARTE
I42;CARDIOMIOPATIA
I43;CARDIOMIOPATIA EN ENFERMEDADES CLASIFICADAS, EN OTRA PARTE
I44;BLOQUEO AURICULOVENTRICULAR Y DE RAMA
I45;OTROS TRASTORNOS DE LA CONDUCCION
I46;PARO CARDIACO
I47;TAQUICARDIA PAROXISTICA
I48;FIBRILACION Y ALETEO AURICULAR
I49;OTRAS ARRITMIAS CARDIACAS
I50;INSUFICIENCIA CARDIACA
I51;COMPLICACIONES Y DESCRIPCIONES MAL DEFINIDAS
I52;OTROS TRASTORNOS CARDIACOS EN ENFERMEDADES, CLASIFICADAS EN OTRA PARTE
I60;HEMORRAGIA SUBARACNOIDEA
I61;HEMORRAGIA INTRAENCEFALICA
I62;OTRAS HEMORRAG INTRACRANEALES NO, TRAUMATICAS
I63;INFARTO CEREBRAL
I64;ACCIDENTE VASCULAR ENCEFALICO AGUDO
I65;OCLUSION Y ESTENOSIS EN ARTERIAS
I66;OCLUSION Y ESTENOSIS EN ARTERIAS CEREBRALES
I67;OTRAS ENFERMEDADES CEREBROVASCULARES
I68;TRASTORNOS CEREBROVASCULARES EN
I69;SECUELAS DE ENFERMEDADES CEREBROVASCULAR
I70;ATEROSCLEROSIS
I71;ANEURISMA Y DISECCION AORTICOS
I72;OTROS ANEURISMAS
I73;OTRAS ENFERMEDADES VASCULARES PERIFERICAS
I74;EMBOLIA Y TROMBOSIS ARTERIALES
I77;OTROS TRASTORNOS ARTERIALES O ARTERIOLARES
I78;ENFERMEDADES DE LOS VASOS CAPILARES
I79;TRASTORNOS DE LAS ARTERIAS, DE LAS ARTERIOLAS Y
I80;FLEBITIS Y TROMBOFLEBITIS
I81;TROMBOSIS DE LA VENA PORTA
I82;OTRAS EMBOLIAS Y TROMBOSIS VENOSAS
I83;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES
I84;HEMORROIDES
I85;VARICES ESOFAGICAS
I86;VARICES DE OTROS SITIOS
I87;OTROS TRASTORNOS DE LAS VENAS
I88;LINFADENITIS INESPECIFICA
I89;OTROS TRASTORNOS NO INFECCIOSOS DE LOS VASOS
I95;HIPOTENSION
I97;TRASTORNOS DEL SISTEMA CIRCULATORIO
I98;OTROS TRASTORNOS DEL SISTEMA CIRCULATORIO EN
I99;OTROS TRASTORNOS DEL SISTEMA CIRCULATORIO
J00;RINOFARINGITIS AGUDA
J01;SINUSITIS AGUDA
J02;FARINGITIS AGUDA
J03;AMIGDALITIS AGUDA
J04;LARINGITIS Y TRAQUEITIS AGUDAS
J05;LARINGITIS OBSTRUCTIVA AGUDA [CRUP] Y EPIGLOTITIS
J06;INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS
J10;INFLUENZA DEBIDA A VIRUS DE LA INFLUENZA, IDENTIFICADO
J11;INFLUENZA DEBIDA A VIRUS NO IDENTIFICADO
J12;NEUMONIA VIRAL NO CLASIFICADA EN OTRA PARTE
J13;NEUMONIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
J14;NEUMONIA DEBIDA A HAEMOPHILUS INFLUENSAE
J15;NEUMONIA BACTERIANA NO CLASIFICADA EN OTRA, PARTE
J16;NEUMONIA DEBIDA A OTROS MICROORGANISMOS
J17;NEUMONIA EN ENFERMEDADES CLASIFICADAS EN OTRA, PARTE
J18;NEUMONIA ORGANISMO NO ESPECIFICADO
J20;BRONQUITIS AGUDA
J21;BRONQUIOLITIS AGUDA
J22;INFECCION AGUDA NO ESPECIFICADA DE LAS VIAS, RESPIRATORIAS INFERIORES
J30;RINITIS ALERGICA Y VASOMOTORA
J31;RINITIS, RINOFARINGITIS Y FARINGITIS CRONICA
J32;SINUSITIS CRONICA
J33;POLIPO NASAL
J34;OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS
J35;ENFERMEDADES CRONICAS DE LAS AMIGDALAS Y DE
J36;ABSCESO PERIAMIGDALINO
J37;LARINGITIS Y LARINGOTRAQUEITIS CRONICAS
J38;ENFERMEDADES DE LAS CUERDAS VOCALES Y DE LA
J39;OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS, SUPERIORES
J40;BRONQUITIS NO ESPECIFICADA COMO AGUDA O, CRONICA
J41;BRONQUITIS CRONICA SIMPLE Y MUCOPURULENTA
J42;BRONQUITIS CRONICA NO ESPECIFICADA
J43;ENFISEMA
J44;OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS, CRONICAS
J45;ASMA
J46;ESTADO ASMATICO
J47;BRONQUIECTASIA
J60;NEUMOCONIOSIS DE LOS MINEROS DE DEL CARBON
J61;NEUMOCONIOSIS DEBIDA A ASBESTO Y OTRAS FIBRAS
J62;NEUMOCONIOSIS DEBIDAS A POLVO DE SILICE
J63;NEUMOCONIOSIS DEBIDA A OTROS POLVOS, INORGANICOS
J64;NEUMOCONIOSIS NO ESPECIFICADA
J65;NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS
J66;ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A
J67;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO, ORGANICO
J68;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION, DE GASES, HUMOS, VAPORES Y SUSTANCIAS QUIMICAS
J69;NEUMONITIS DEBIDA A SOLIDOS Y LIQUIDOS
J70;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS
J80;SINDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO
J81;EDEMA PULMONAR
J82;EOSINOFILIA PULMONAR NO CLASIFICADA EN OTRA PARTE
J84;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES
J85;ABSCESO DEL PULMON Y DEL MEDIASTINO
J86;PIOTORAX
J90;DERRAME PLEURAL
J91;DERRAME PLEURAL POR OTRAS AFECCIONES
J92;PAQUIPLEURITIS
J93;NEUMOTORAX
J94;OTRAS AFECCIONES DE LA PLEURA
J95;TRASTORNOS DEL SISTEMA RESPIRATORIO,
J96;INSUFICIENCIA RESPIRATORIA NO CLASIFICADAS EN, OTRA PARTE
J98;OTROS TRASTORNOS RESPIRATORIOS
J99;TRASTORNOS RESPIRATORIOS EN ENFERMEDADES
K00;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE
K01;DIENTES INCLUIDOS E IMPACTADOS
K02;CARIES DENTAL
K03;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE
K04;ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS, PERIAPICALES
K05;GINGIVITIS Y ENFERMEDADES PERIODONTALES
K06;OTROS TRASTORNOS DE LA ENCIA Y DE LA ZONA, EDENTULA
K07;ANOMALIAS DENTOFACIALES [INCLUSOLA, MALOCLUSION]
K08;OTROS TRASTORNOS DE LOS DIENTES Y DE SUS
K09;QUISTES DE LA REGION BUCAL NO CLASIFICADAS EN
K10;OTRAS ENFERMEDADES DE LOS MAXILARES
K11;ENFERMEDADES DE LAS GLANDULAS SALIVARES
K12;ESTOMATITIS Y LESIONES AFINES (AFTA)
K13;OTRAS ENFERMEDADES DE LOS LABIOS Y DE LA, MUCOSA BUCAL
K14;ENFERMEDADES DE LA LENGUA
K20;ESOFAGITIS
K21;ENFERMEDAD DEL REFLUJO GASTROESOFAGICO
K22;OTRAS ENFERMEDADES DEL ESOFAGO
K23;TRASTORNOS DEL ESOFAGO EN ENFERMEDADES
K25;ULCERA GASTRICA
K26;ULCERA DUODENAL
K27;ULCERA PEPTICA, SITIO NO ESPECIFICADO
K28;ULCERA GASTROYEYUNAL
K29;GASTRITIS Y DUODENITIS
K30;DISPEPSIA
K31;OTRAS ENFERMEDADES DEL ESTOMAGO Y DEL, DUODENO
K35;APENDICITIS AGUDA
K36;OTROS TIPOS DE APENDICITIS
K37;APENDICITIS NO ESPECIFICADA
K38;OTRAS ENFERMEDADES DEL APENDICE
K40;HERNIA INGUINAL
K41;HERNIA FEMORAL (HERNIA CRURAL)
K42;HERNIA UMBILICAL
K43;HERNIA VENTRAL
K44;HERNIA DIAFRAGMATICA
K45;OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL
K46;HERNIA NO ESPECIFICADA DE LA CAVIDAD ABDOMINAL
K50;ENFERMEDADES DE CROHN [ENTERITIS REGIONAL]
K51;COLITIS ULCERATIVA
K52;OTRAS COLITIS Y GASTROENTERIT NO INFECCIOSAS
K55;TRASTORNOS VASCULARES DE LOS INTESTINOS
K56;ILEO PARALITICO Y OBSTRUCCION INTESTINAL SIN, HERNIA
K57;ENFERMEDAD DIVERTICULAR DEL INTESTINO
K58;SINDROME DEL COLON IRRITABLE
K59;OTROS TRASTORNOS FUNCIONALES DEL INTESTINO
K60;FISURA Y FISTULA DE LAS REGIONES ANAL Y RECTAL
K61;ABSCESO DE LAS REGIONES ANAL Y RECTAL
K62;OTRAS ENFERMEDADES DEL ANO Y DEL RECTO
K63;OTRAS ENFERMEDADES DE LOS INTESTINOS
K65;PERITONITIS
K66;OTROS TRASTORNOS DEL PERITONEO
K67;TRASTORNOS DEL PERITONEO EN ENFERMEDADES
K70;ENFERMEDAD ALCOHOLICA DEL HIGADO
K71;ENFERMEDAD TOXICA DEL HIGADO
K72;INSUFICIENCIA HEPATICA NO CLASIFICADAS EN OTRA, PARTE
K73;HEPATITIS CRONICA NO CLASIFICADAS EN OTRA PARTE
K74;FIBROSIS Y CIRROSIS DEL HIGADO
K75;OTRAS ENFERMEDADES INFLAMATORIAS DEL HIGADO
K76;OTRAS ENFERMEDADES DEL HIGADO
K77;TRASTORNOS DEL HIGADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K80;COLELITIASIS
K81;COLECISTITIS
K82;OTRAS ENFERMEDADES DE LA VESICULA BILIAR
K83;OTRAS ENFERMEDADES DE LAS VIAS BILIARES
K85;PANCREATITIS AGUDA
K86;OTRAS ENFERMEDADES DEL PANCREAS
K87;TRASTORNOS DE LA VESICULA BILIAR, DE LAS VIAS BILIARES Y DEL PANCREAS EN ENFERMEDADES
K90;MALABSORCION INTESTINAL
K91;TRASTORNOS DEL SISTEMA DIGESTIVO,
K92;OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO
K93;TRASTORNOS DE OTROS ORGANOS DIGESTIVOS EN, ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L00;SINDROME ESTAFILOCOCICO DE LA PIEL ESCALDADA
L01;IMPETIGO
L02;ABSCESO CUTANEO, FURUNCULO Y ANTRAX
L03;CELULITIS
L04;LINFADENITIS AGUDA
L05;QUISTE PILONIDAL
L08;OTRAS INFECCIONES LOCALES PIEL Y TEJIDO, SUBCUTANEO
L10;PENFIGO
L11;OTROS TRASTORNOS ACANTOLITICOS
L12;PENFIGOIDE
L13;OTROS TRASTORNOS FLICTENULARES
L14;TRASTORNOS FLICTENULARES
L20;DERMATITIS ATOPICA
L21;DERMATITIS SEBORREICA
L22;DERMATITIS DEL PANAL
L23;DERMATITIS ALERGICA DE CONTACTO
L24;DERMATITIS DE CONTACTO POR IRRITANTES
L25;DERMATITIS DE CONTACTO FORMA NO ESPECIFICADA
L26;DERMATITIS EXFOLIATIVA
L27;DERMATITIS DEBIDA A SUSTANCIAS INGERIDAS
L28;LIQUEN SIMPLE CRONICO Y PRURIGO
L29;PRURITO
L30;OTRAS DERMATITIS
L40;PSORIASIS
L41;PARAPSORIASIS
L42;PITIRIASIS ROSADA
L43;LIQUEN PLANO
L44;OTROS TRASTORNOS PAPULOESCAMOSOS
L45;TRASTORNOS PAPULOESCAMOSOS
L50;URTICARIA
L51;ERITEMA MULTIFORME
L52;ERITEMA NUDOSO
L53;OTRAS AFECCIONES ERITEMATOSAS
L54*;ERITEMA EN ENFERMEDADES CLASIFICADAS EN OTRA, PARTE
L55;QUEMADURA SOLAR
L56;OTROS CAMBIOS AGUDOS DE LA PIEL, DEBIDOS A
L57;CAMBIOS AGUDOS DE LA PIEL, DEBIDOS A EXPOSICION
L58;RADIODERMATITIS
L59;OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO
L60;TRASTORNOS DE LAS UÑAS
L62;TRASTORNOS UÑAS EN ENFERMEDADES CLASIFICADAS
L63;ALOPECIA AREATA
L64;ALOPECIA ANDROGENA
L65;OTRA PERDIDA NO CICATRICIAL DEL PELO
L66;ALOPECIA CICATRICIAL [PERDIDA CICATRICIAL DEL, PELO]
L67;ANORMALIDADES DEL TALLO Y DEL COLOR DEL PELO
L68;HIPERTRICOSIS
L70;ACNE
L71;ROSACEA
L72;QUISTE FOLICULAR DE LA PIEL Y DEL TEJIDO, SUBCUTANEO
L73;OTROS TRASTORNOS FOLICULARES
L74;TRASTORNOS SUDORIPAROS ECRINOS
L75;TRASTORNOS SUDORIPAROS APOCRINOS
L80;VITILIGO
L81;OTROS TRASTORNOS DE LA PIGMENTACION
L82;QUERATOSIS SEBORREICA
L83;ACANTOSIS NIGRICANS
L84;CALLOS Y CALLOSIDADES
L85;OTROS TIPOS DE ENGROSAMIENTO EPIDERMICO
L86;QUERATODERMA
L87;TRASTORNOS DE LA ELIMINACION TRANSEPIDERMICA
L88;PIODERMA GANGRENOSO
L89;ULCERA DE DECUBITO
L90;TRASTORNOS ATROFICOS DE LA PIEL
L91;TRASTORNOS HIPERTROFICOS DE LA PIEL
L92;TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL
L93;LUPUS ERITEMATOSO
L94;OTROS TRASTORNOS LOCALIZADOS DEL TEJIDO, CONJUNTIVO
L95;VASCULITIS LIMITADA A LA PIEL NO CLASIFICADAS EN
L97;ULCERA DEL MIEMBRO INFERIOR NO CLASIFICADA EN
L98;OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO
L99;OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO
M00;ARTRITIS PIOGENA
M01;INFECCIONES DIRECTAS DE LA ARTICULACION EN
M02;ARTROPATIAS REACTIVAS
M03;ARTROPATIAS POSTINFECCIOSAS Y REACTIVAS EN
M05;ARTRITIS REUMATOIDE SEROPOSITIVA
M06;OTRAS ARTRITIS REUMATOIDES
M07;ARTROPATIAS PSORIASICAS Y ENTEROPATICAS
M08;ARTRITIS JUVENIL
M09;ARTRITIS JUVENIL EN ENFERMEDADES CLASIFICADAS
M10;GOTA
M11;OTRAS ARTROPATIAS POR CRISTALES
M12;OTRAS ARTROPATIAS ESPECIFICAS
M13;OTRAS ARTRITIS
M14;ARTROPATIA EN ENFERMEDADES CLASIFICADAS EN EN, OTRA PARTE.
M15;POLIARTROSIS
M16;COXARTROSIS
M17;GONARTROSIS
M18;ARTROS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA
M19;OTRAS ARTROSIS
M20;DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DE LA
M21;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS
M22;TRASTORNOS DE LA ROTULA
M23;TRASTORNO INTERNO DE LA RODILLA
M24;OTROS TRASTORNOS ARTICULARES ESPECIFICOS
M25;OTROS TRASTORNOS ARTICULARES NO CLASIFICADAS
M30;POLIARTRITIS NUDOSA Y AFECCIONES RELACIONADAS
M31;OTRAS VASCULOPATIAS NECROTIZANTES
M32;LUPUS ERITEMATOSO SISTEMICO (LES)
M33;DERMATOPOLIMIOSITIS
M34;ESCLEROSIS SISTEMICA
M35;OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO
M36;TRASTORNOS SISTEMICOS DEL TEJIDO CONJUNTIVO
M40;CIFOSIS Y LORDOSIS
M41;ESCOLIOSIS
M42;OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL
M43;OTRAS DORSOPATIAS DEFORMANTES
M45;ESPONDILITIS ANQUILOSANTE
M46;OTRAS ESPONDILOPATIAS INFLAMATORIAS
M47;ESPONDILOSIS
M48;OTRAS ESPONDILOPATIAS
M49;ESPONDILOPATIAS EN ENFERMEDADES CLASIFICADAS
M50;TRASTORNOS DEL DISCO CERVICAL
M51;OTROS TRASTORNOS DE LOS DISCOS, INTERVERTEBRALES
M53;OTRAS DORSOPATIAS NO CLASIFICADAS EN OTRA PARTE
M54;DORSALGIA
M60;MIOSITIS
M61;CALCIFICACION Y OSIFICACION DEL MUSCULO
M62;OTROS TRASTORNOS DE LOS MUSCULOS
M63;TRASTORNOS DE LOS MUSCULOS EN ENFERMEDADES
M65;SINOVITIS Y TENOSINOVITIS
M66;RUPTURA ESPONTANEA DE LA SINOVIA Y DEL TENDON
M67;OTROS TRASTORNOS DE LA SINOVIA Y TENDON
M68;TRASTORNOS DE LA SINOVIA Y DEL TENDON DEL, ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M70;TRASTORNOS DEL TEJIDO BLANDO RELACIONADOS
M71;OTRAS BURSOPATIAS
M72;TRASTORNOS FIBROBLASTICOS
M73;TRASTORNOS DEL TEJIDO BLANDO EN ENFERMEDADES
M75;LESIONES DEL HOMBRO
M76;ENTESOPATIAS DEL MIEMBRO INFERIOR EXCLUIDO EL, PIE
M77;OTRAS ENTESOPATIAS
M79;OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS NO
M80;OSTEOPOROSIS CON FRACTURA PATOLOGICA
M81;OSTEOPOROSIS SIN FRACTURA PATOLOGICA
M82;OSTEOPOROSIS EN ENFERMEDADES CLASIFICADAS EN
M83;OSTEOMALACIA DEL ADULTO
M84;TRASTORNOS DE LA CONTINUIDAD DEL HUESO
